Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,439.925000,-,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,,146.850000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,,147.075000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,,147.100000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,,147.000000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,,437.810000,split,145.990000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
11,,437.805000,split,145.990000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
12,,437.800000,split,145.990000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
13,,437.795000,split,145.990000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
14,,437.790000,split,145.990000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
15,,436.795000,split,145.850000,Tone,74.4,88.5,023,NN,FM,5.00,,,,,,
16,,436.805000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
17,,436.800000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
18,,436.795000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
19,,436.790000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
20,,436.785000,split,145.850000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
21,,145.960000,split,435.240000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
22,,145.960000,split,435.245000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
23,,145.960000,split,435.250000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
24,,145.960000,split,435.255000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
25,,145.960000,split,435.260000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
